Product ID,Promotion,Seasonal,Sales Volume,name,price,section,Aisle,End-cap,Front of Store,jackets,jeans,shoes,sweaters,t-shirts
185102,False,False,2823,BASIC PUFFER JACKET,19.99,False,True,False,False,True,False,False,False,False
188771,False,False,654,TUXEDO JACKET,169.0,False,True,False,False,True,False,False,False,False
180176,True,True,2220,SLIM FIT SUIT JACKET,129.0,False,False,True,False,True,False,False,False,False
112917,True,True,1568,STRETCH SUIT JACKET,129.0,False,True,False,False,True,False,False,False,False
192936,False,True,2942,DOUBLE FACED JACKET,139.0,False,False,True,False,True,False,False,False,False
117590,False,False,2968,CONTRASTING COLLAR JACKET,79.9,False,False,True,False,True,False,False,False,False
189118,True,True,952,FAUX LEATHER PUFFER JACKET,69.99,False,False,False,True,True,False,False,False,False
182157,False,False,2421,SUIT JACKET IN 100% LINEN,159.0,False,True,False,False,True,False,False,False,False
141861,True,True,1916,100% WOOL SUIT JACKET,169.0,False,True,False,False,True,False,False,False,False
137121,False,True,656,100% FEATHER FILL PUFFER JACKET,169.0,False,True,False,False,True,False,False,False,False
113143,True,True,2663,HERRINGBONE TEXTURED JACKET,129.0,False,True,False,False,True,False,False,False,False
140028,True,True,1260,OVERSIZED CROPPED JACKET LIMITED EDITION,159.0,False,True,False,False,True,False,False,False,False
134693,True,False,2124,LEATHER BIKER JACKET,169.0,False,True,False,False,True,False,False,False,False
151396,True,True,729,CROPPED LEATHER JACKET,439.0,False,False,False,True,True,False,False,False,False
132889,True,True,2265,FAUX LEATHER BOXY FIT JACKET,99.9,False,True,False,False,True,False,False,False,False
152174,False,False,2226,FAUX LEATHER JACKET,99.9,False,False,True,False,True,False,False,False,False
129906,False,False,2089,FAUX SUEDE BOMBER JACKET,69.9,False,True,False,False,True,False,False,False,False
195879,True,True,2339,DENIM BOMBER JACKET,129.0,False,False,False,True,True,False,False,False,False
155050,False,True,2321,BOUCLÉ TEXTURED JACKET,129.0,False,True,False,False,True,False,False,False,False
194410,False,False,669,SUIT JACKET IN 100% LINEN,159.0,False,False,True,False,True,False,False,False,False
141904,True,True,1712,JACQUARD DENIM JACKET,109.0,False,False,True,False,True,False,False,False,False
124981,False,True,1832,PADDED DENIM JACKET,89.9,False,False,False,True,True,False,False,False,False
161909,True,False,1290,LEATHER JACKET,299.0,False,True,False,False,True,False,False,False,False
129152,False,False,2356,LIGHTWEIGHT BOMBER JACKET,49.9,False,False,True,False,True,False,False,False,False
183243,True,False,1524,SUIT JACKET,169.0,False,False,False,True,True,False,False,False,False
198248,True,False,1644,FAUX LEATHER BOMBER JACKET,69.9,False,False,False,True,True,False,False,False,False
